地震時間,經度,緯度,規模
2024/4/5 06:23,121.746,24.2292,3.5
2024/4/5 06:14,121.747,24.2245,3.4
2024/4/5 06:08,121.637,23.8678,3.9
2024/4/5 05:54,121.65,24.176,3.8
2024/4/5 05:54,121.765,24.2103,3.8
2024/4/5 05:28,121.709,24.1948,3.2
2024/4/5 05:20,121.75,24.2212,3.9
2024/4/5 05:14,121.697,24.2367,3.0
2024/4/5 05:10,121.737,24.2453,4.1
2024/4/5 05:02,121.734,24.2427,3.3
2024/4/5 04:30,121.673,24.1408,3.3
2024/4/5 04:28,121.746,24.2348,4.4
2024/4/5 04:21,121.752,24.2295,3.4
2024/4/5 04:11,121.743,24.2388,3.7
2024/4/5 03:55,121.864,23.8218,4.3
2024/4/5 03:48,121.748,24.2363,4.3
2024/4/5 03:40,121.631,23.9638,3.4
2024/4/5 03:16,121.532,23.9153,3.8
2024/4/5 03:03,121.732,24.0577,3.4
2024/4/5 03:03,121.669,24.3025,3.4
2024/4/5 02:42,121.9,24.2857,4.6
2024/4/5 02:36,121.8,24.2978,3.7
2024/4/5 02:35,121.671,24.1568,5.3
2024/4/5 02:34,121.728,24.2577,3.3
2024/4/5 02:33,121.746,24.2495,3.5
2024/4/5 02:19,121.762,24.2288,3.3
2024/4/5 02:18,121.76,24.2253,3.4
2024/4/5 02:07,121.751,24.2477,3.4
2024/4/5 01:56,121.76,24.2385,3.3
2024/4/5 01:55,121.699,24.1302,3.4
2024/4/5 01:51,121.785,24.3037,3.3
2024/4/5 01:37,121.739,24.2425,4.1
2024/4/5 01:30,121.753,24.2422,3.7
2024/4/5 01:29,121.724,24.2695,3.3
2024/4/5 01:27,121.765,24.2337,3.9
2024/4/5 01:24,121.76,24.2358,4.9
2024/4/5 01:22,121.745,24.246,4.1
2024/4/5 01:16,121.781,24.2363,3.5
2024/4/5 01:00,121.749,24.1177,3.5
2024/4/5 00:56,121.75,24.2567,3.4
2024/4/5 00:47,121.738,24.246,3.6
2024/4/5 00:32,121.772,24.2792,3.9
2024/4/5 00:25,121.749,24.2387,3.5
2024/4/5 00:21,121.756,24.2337,3.5
2024/4/5 00:13,121.745,24.2723,3.2
2024/4/4 23:56,121.746,24.2358,3.7
2024/4/4 23:39,121.515,23.8983,3.5
2024/4/4 23:19,121.763,24.239,3.6
2024/4/4 23:15,121.765,24.2437,3.3
2024/4/4 23:02,121.76,24.2425,3.6
2024/4/4 23:00,121.728,24.2582,3.4
2024/4/4 22:59,121.734,24.2557,4.0
2024/4/4 22:56,121.76,24.248,4.0
