時間,地點1,小客車交通量,小貨車交通量,大客車交通量,大貨車交通量,聯結車交通量,小客車車速,小貨車車速,大客車車速,大貨車車速,聯結車車速
2,0099,11.0,2.0,0.0,0.0,0.0,115.0,109.0,0.0,0.0,0.0
2,0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0099,13.0,8.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0
2,0147,45.0,6.0,0.0,1.0,0.0,97.0,99.0,0.0,93.0,0.0
2,0147,4.0,0.0,1.0,0.0,0.0,97.0,0.0,90.0,0.0,0.0
2,0147,7.0,2.0,0.0,0.0,0.0,90.0,95.0,0.0,0.0,0.0
2,0147,38.0,7.0,0.0,3.0,1.0,97.0,100.0,0.0,97.0,100.0
2,0153,69.0,12.0,0.0,4.0,3.0,97.0,99.0,0.0,91.0,86.0
2,0153,29.0,10.0,0.0,3.0,3.0,97.0,93.0,0.0,93.0,93.0
2,0182,29.0,9.0,0.0,1.0,1.0,97.0,86.0,0.0,90.0,79.0
2,0213,42.0,10.0,0.0,3.0,4.0,97.0,93.0,0.0,86.0,79.0
2,0233,42.0,6.0,0.0,2.0,3.0,100.0,81.0,0.0,86.0,86.0
2,0248,69.0,20.0,1.0,6.0,2.0,100.0,100.0,100.0,99.0,99.0
2,0256,76.0,7.0,3.0,2.0,3.0,100.0,90.0,90.0,90.0,86.0
2,0264,66.0,14.0,3.0,4.0,1.0,100.0,100.0,97.0,95.0,86.0
2,0293,76.0,15.0,3.0,8.0,1.0,100.0,97.0,90.0,90.0,86.0
2,0293,62.0,8.0,3.0,4.0,3.0,100.0,99.0,97.0,104.0,90.0
2,0339,121.0,21.0,3.0,2.0,0.0,97.0,93.0,86.0,77.0,0.0
2,0339,46.0,4.0,0.0,0.0,0.0,97.0,95.0,0.0,0.0,0.0
2,0340,83.0,17.0,5.0,5.0,0.0,100.0,100.0,93.0,90.0,0.0
2,0340,25.0,5.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
2,0376,109.0,20.0,2.0,2.0,4.0,97.0,97.0,93.0,84.0,86.0
2,0376,74.0,14.0,1.0,0.0,2.0,93.0,93.0,82.0,0.0,46.0
2,0413,82.0,18.0,2.0,6.0,5.0,100.0,100.0,95.0,93.0,97.0
2,0413,89.0,16.0,3.0,2.0,2.0,100.0,100.0,97.0,82.0,82.0
2,0467,78.0,15.0,0.0,8.0,3.0,97.0,97.0,0.0,81.0,72.0
2,0467,78.0,14.0,2.0,5.0,2.0,100.0,100.0,97.0,93.0,91.0
2,0492,95.0,12.0,3.0,9.0,2.0,104.0,104.0,97.0,93.0,77.0
