2024年4月,,,,,,
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024/4/13 05:00,121.656,23.9622,3.8,30.1,花蓮縣政府東南方  4.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/13 04:59,120.198,23.3535,3.5,9,嘉義縣政府西南方  15.2  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/13 04:21,120.187,23.3707,3.3,11.7,嘉義縣政府西南方  14.6  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
199,2024/4/13 04:00,120.18,23.3715,4,10.2,嘉義縣政府西南方  15.0  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024/4/13 03:35,120.201,23.3552,3.3,9,嘉義縣政府西南方  14.8  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/13 03:10,121.729,24.2095,3.2,12.4,花蓮縣政府北北東方  26.6  公里 (位於花蓮縣近海)(花蓮縣近海)
198,2024/4/13 02:44,120.184,23.3758,4.9,10.4,嘉義縣政府西南方  14.5  公里 (位於嘉義縣布袋鎮)(嘉義縣布袋鎮)
小區域有感地震,2024/4/12 23:43,120.202,23.364,3.4,9.6,嘉義縣政府西南方  14.0  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
197,2024/4/12 22:20,121.63,22.3628,4.7,14.5,臺東縣政府東南方  65.6  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2024/4/12 20:25,121.871,24.1977,3.4,20.4,花蓮縣政府東北方  34.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/12 20:12,121.62,23.966,3.8,24.9,花蓮縣政府南方  2.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/12 19:33,121.555,23.7937,3.3,8.1,花蓮縣政府南南西方  22.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/12 18:46,121.665,24.0243,3.9,30.2,花蓮縣政府東北方  5.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/12 14:51,121.623,24.4863,3.8,44.2,宜蘭縣政府南南西方  30.6  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2024/4/12 11:14,121.724,24.0445,3.5,28.5,花蓮縣政府東北東方  12.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/12 10:53,121.853,24.2848,3.7,10.3,花蓮縣政府東北方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/12 09:16,121.726,24.2543,3.6,14.8,花蓮縣政府北北東方  31.1  公里 (位於花蓮縣近海)(花蓮縣近海)
196,2024/4/12 08:54,121.749,23.9815,4.3,23.1,花蓮縣政府東方  13.2  公里 (位於臺灣東部海域)(臺灣東部海域)
195,2024/4/12 08:29,121.699,23.9977,4.2,27.6,花蓮縣政府東方  8.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/12 05:32,121.881,24.1778,3.8,23.5,花蓮縣政府東北方  33.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/12 05:04,121.825,24.5007,3.3,10.1,宜蘭縣政府南南東方  26.3  公里 (位於宜蘭縣蘇澳鎮)(宜蘭縣蘇澳鎮)
小區域有感地震,2024/4/12 04:55,121.811,24.5497,3,7.8,宜蘭縣政府南南東方  20.7  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2024/4/12 03:50,121.633,23.8502,3.7,23.5,花蓮縣政府南方  15.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/12 02:52,121.699,24.1197,3.9,16.8,花蓮縣政府北北東方  16.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/12 01:28,121.707,24.2525,3.1,12.4,花蓮縣政府北北東方  30.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/12 00:04,121.737,24.2102,3.3,16,花蓮縣政府北北東方  27.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 23:56,121.723,24.0322,3.9,28.1,花蓮縣政府東北東方  11.4  公里 (位於花蓮縣近海)(花蓮縣近海)
194,2024/4/11 22:09,121.706,24.1413,4,20.8,花蓮縣政府北北東方  18.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 21:41,121.284,24.0108,3.2,5,花蓮縣政府西方  34.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/11 21:23,121.905,24.225,3.8,10.9,花蓮縣政府東北方  38.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/11 20:44,121.747,24.2242,3.3,17,花蓮縣政府北北東方  28.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 19:53,121.719,24.1652,3.6,19.6,花蓮縣政府北北東方  21.8  公里 (位於花蓮縣近海)(花蓮縣近海)
